"addresses__address1","addresses__address2","addresses__city","addresses__state","addresses__postalCode","addresses__coordinates__lat","addresses__coordinates__lng","attribution"
"2013 Talbot Terrace","","Montgomery","AL","36106","32.346206","-86.239281",""
"7968 Newman Street","","Arvada","CO","80005","39.841688","-105.118186",""
"2317 Fernwood Drive","","Nashville","TN","37216","36.20627899999999","-86.712266",""
"13852 West 66th Place","","Arvada","CO","80004","39.8168929","-105.1551018",""
"57 Birdie Lane","","Tewksbury","MA","01876","42.59425299999999","-71.20448999999999",""
"814 Coachway","","Annapolis","MD","21401","39.022008","-76.53079",""
"2620 West 33rd Avenue","APT B","Anchorage","AK","99517","61.19027800000001","-149.9339819",""
"15 Lakewood Drive","","Thunderbolt","GA","31410","32.037339","-81.038281",""
"2909 Flamstead Road","","Chester","VT","05143","43.3024429","-72.560051",""
"45 Brackett Street","#611","Quincy","MA","02169","42.2519714","-70.9942731",""
"6073 Harlan Street","","Arvada","CO","80003","39.807061","-105.062959",""
"7703 Aragorn Court","","Hanover","MD","21076","39.145016","-76.713634",""
"107 Mark Drive","","Glen Burnie","MD","21061","39.13998400000001","-76.613457",""
"922 Judge Court East","","West River","MD","20778","38.821736","-76.53151299999999",""
"4911 Alameda Street","","Panama City","FL","32404","30.152276","-85.600115",""
"53 Greenwood Avenue","#1","Wakefield","MA","01880","42.48164450000001","-71.0631016",""
"5024 West Christy Drive","","Glendale","AZ","85304","33.584293","-112.167218",""
"406 North Hammonds Ferry Road","","Linthicum Heights","MD","21090","39.212529","-76.662395",""
"1821 Catalpa Way","","Hayward","CA","94545","37.622266","-122.081085",""
"7770 West Bell Road","","Glendale","AZ","85308","33.6383153","-112.2273207",""
"108 Springer Lane","","Yarmouth","MA","02673","41.6444001","-70.2373886",""
"10725 Sunset Boulevard","","Spencer","OK","73084","35.564321","-97.339423",""
"1200 S Street","","Anchorage","AK","99501","61.210528","-149.916739",""
"1207 Branch Lane","","Glen Burnie","MD","21061","39.18226900000001","-76.617914",""
"2502 Adrienne Way","","Louisville","KY","40216","38.1718223","-85.84547189999999",""
"1917 Whitaker Street","","Savannah","GA","31401","32.0585396","-81.1009886",""
"1256 Talbert Street Southeast","","Washington","DC","20020","38.8617636","-76.99095559999999",""
"3300 Crystal Road","","Montgomery","AL","36110","32.430977","-86.28776599999999",""
"55620 Jolon Road","","King City","CA","93930","36.1162599","-121.130646",""
"1076 Foster Street","","Alameda","CA","94502","37.736838","-122.25143",""
"8573 North 63rd Drive","","Glendale","AZ","85302","33.5628573","-112.1952419",""
"5632 West Acoma Drive","","Glendale","AZ","85306","33.617804","-112.180893",""
"517 Glenpark Drive","","Nashville","TN","37217","36.113677","-86.706594",""
"709 Mildred Street","","Montgomery","AL","36104","32.371664","-86.319825",""
"37 Kensington Street","","Manchester","CT","06040","41.774793","-72.503203",""
"1416 Ridgewood Avenue","","Panama City","FL","32404","30.1738197","-85.6007266",""
"841 Whittier Hill Road","","","VT","05647","44.391445","-72.30940199999999",""
"7310 East Chester Heights Circle","","Anchorage","AK","99504","61.19561599999999","-149.743875",""
"240 54th Avenue North","","Nashville","TN","37209","36.1481224","-86.8526358",""
"6276 Devinney Circle","","Arvada","CO","80004","39.80981","-105.156147",""
"6206 Waters Avenue","#110","Savannah","GA","31406","32.0131058","-81.0973379",""
"13116 West Palo Verde Drive","","Litchfield Park","AZ","85340","33.521955","-112.342071",""
"112 Mallard Drive","","Savannah","GA","31419","31.970414","-81.22593499999999",""
"4010 Governors Drive","","Montgomery","AL","36111","32.3300322","-86.2483238",""
"3604 West Market Street","","Louisville","KY","40212","38.260966","-85.80990299999999",""
"349 North Sabine Pass Road","","Fayetteville","AR","72704","36.069263","-94.248685",""
"7912 Depew Street","","Arvada","CO","80003","39.839139","-105.0586469",""
"23128 Donalda Avenue","","Port Charlotte","FL","33954","27.021049","-82.070155",""
"44 Elm Street","","East Longmeadow","MA","01028","42.0675591","-72.5119753",""
"9912 Shirewick Way","","Louisville","KY","40272","38.111074","-85.888532",""
"2732 Humboldt Avenue","","Oakland","CA","94602","37.7906226","-122.2090177",""
"2500 Medallion Drive","#APT 148","Union City","CA","94587","37.6053127","-122.0528926",""
"114 Middle Road","","","VT","05488","44.910387","-73.1406389",""
"46 Lilac Street","","Manchester","CT","06040","41.774046","-72.53570909999999",""
"3541 North Road","","Maidstone","VT","05905","44.61203","-71.5981599",""
"1318 22nd Street Northwest","","Washington","DC","20037","38.9078486","-77.0490562",""
"3408 Taylorsville Road","#1","Louisville","KY","40205","38.2217118","-85.6571735",""
"7851 Snow View Drive","","Anchorage","AK","99507","61.149614","-149.8234019",""
"1900 Lincoln Street","#206","Savannah","GA","31401","32.0574393","-81.0962614",""
"2740 Collie Hill Way","APT A","Anchorage","AK","99504","61.19547499999999","-149.774592",""
"7 Vantine Avenue","","Alburgh","VT","05440","44.9743541","-73.300597",""
"5161 Jefferson Boulevard","#202","Louisville","KY","40219","38.1579108","-85.67098399999999",""
"57413 Taku Avenue","","Homer","AK","99603","59.69155499999999","-151.383791",""
"13360 West 83rd Place","","Arvada","CO","80005","39.8472684","-105.1496416",""
"6215 Sheridan Boulevard","","Arvada","CO","80003","39.809855","-105.053328",""
"175 Oak Street","","Manchester","CT","06040","41.7700323","-72.512125",""
"20933 River Park Drive","","Anchorage","AK","99577","61.288693","-149.491501",""
"66 Troy Avenue","","Colchester","VT","05446","44.5042","-73.153037",""
"4329 Howe Street","","Oakland","CA","94611","37.83019","-122.249552",""
"235 Hugh Thomas Drive","","Panama City","FL","32404","30.146583","-85.553331",""
"2278 North Windswept Lane","","Fayetteville","AR","72703","36.092963","-94.14863989999999",""
"1114 Barley Drive","","Montgomery","AL","36111","32.329514","-86.284313",""
"43 Howarth Avenue","","Attleboro","MA","02703","41.9192015","-71.3554508",""
"2032 4th Street Northwest","","Washington","DC","20001","38.9176282","-77.0178092",""
"204 Blue Hills Drive","","Nashville","TN","37214","36.166786","-86.68691199999999",""
"881 Main Street","","Manchester","CT","06040","41.7700742","-72.52033990000001",""
"3425 North Futrall Drive","","Fayetteville","AR","72703","36.11354499999999","-94.155049",""
"519 Emerald Drive","B","Savannah","GA","31415","32.0678002","-81.1022722",""
"2464 Windham Hill Road","","Townshend","VT","05359","43.118862","-72.7071689",""
"1478 Sharps Point Road","","Annapolis","MD","21409","39.003222","-76.43876399999999",""
"3337 Woodpark Court","","Montgomery","AL","36116","32.307688","-86.265641",""
"16303 Mateo Street","","San Leandro","CA","94578","37.697031","-122.11392",""
"111 20th Street","","Mexico Beach","FL","32456","29.94494","-85.41067799999999",""
"16910 Alpine Drive","","Pioneer","CA","95666","38.452242","-120.525135",""
"5685 Express Drive","","Montgomery","AL","36116","32.31678670000001","-86.22460559999999",""
"4409 Star Jasmine Court","","Bakersfield","CA","93304","35.314966","-119.027406",""
"8300 Dover Way","","Arvada","CO","80005","39.847382","-105.093116",""
"439 Crestmont Drive","","Oakland","CA","94619","37.799782","-122.178871",""
"1666 South Summer Rose Avenue","","Fayetteville","AR","72701","36.044801","-94.1003209",""
"525 Middle Turnpike West","","Manchester","CT","06040","41.7813693","-72.549026",""
"4516 Old Seward Highway","","Anchorage","AK","99503","61.1796427","-149.8693945",""
"6716 South Mariposa Lane","","Dublin","CA","94568","37.713863","-121.9110367",""
"40 Highwood Drive","","Manchester","CT","06040","41.768694","-72.493004",""
"32 Royal Drive","","Louisville","KY","40214","38.1291611","-85.7593052",""
"4728 Rockland Trail","","Nashville","TN","37013","36.032653","-86.58542399999999",""
"200 West Center Street","A","Manchester","CT","06040","41.77056450000001","-72.54388569999999",""
"1708 Melody Drive","","Midwest City","OK","73130","35.4476059","-97.3655778",""
"654 Laurette Place","","Hayward","CA","94544","37.647646","-122.066458",""
"815 West Market Street","#6","Louisville","KY","40202","38.2563384","-85.76448409999999",""
"7003 9th Street Northwest","","Washington","DC","20012","38.9749667","-77.0253871",""
"468 Raymond Drive","","Ione","CA","95640","38.356566","-120.935883",""
"6802 North 67th Avenue","#19201","Glendale","AZ","85301","33.5359555","-112.2043774",""
"756 Neponset Street","","Norwood","MA","02062","42.180591","-71.18029500000002",""
"241 Methuen Street","","Lowell","MA","01850","42.6578963","-71.2970094",""
"3111 Gentilly Court","","Montgomery","AL","36116","32.3147949","-86.24347399999999",""
"5619 Clay Place Northeast","","Washington","DC","20019","38.8939512","-76.92005739999999",""
"208 Timrod Road","","Manchester","CT","06040","41.759136","-72.494225",""
"43626 Bryant Street","","Fremont","CA","94539","37.526895","-121.92052",""
"2521 Naylor Road Southeast","","Washington","DC","20020","38.8675662","-76.97067489999999",""
"49 West Street","","Bolton","VT","05676","44.371346","-72.867516",""
"4513 Beth Manor Drive","","Montgomery","AL","36109","32.3648739","-86.2404025",""
"5725 Medallion Court","","Castro Valley","CA","94552","37.717206","-122.057019",""
"8036 Laketowne Court","","Severn","MD","21144","39.1290125","-76.71450229999999",""
"95 Claiborne Street","","Nashville","TN","37210","36.151804","-86.76030899999999",""
"2713 Mitscher Road","","Washington","DC","20373","38.85952229999999","-77.00599009999999",""
"6013 Cherry Hill Road","","Montgomery","AL","36116","32.3074583","-86.22554389999999",""
"9605 West 62nd Place","","Arvada","CO","80004","39.810923","-105.10516",""
"95 Forest Avenue","#2","Brockton","MA","02301","42.07253410000001","-71.0232996",""
"3420 Horseshoe Circle","","Montgomery","AL","36116","32.3220918","-86.2254811",""
"77 Weaver Road","","Manchester","CT","06042","41.7881544","-72.50180759999999",""
"233 Ingraham Street Northwest","","Washington","DC","20011","38.954755","-77.014912",""
"612 Penn Lane","","Moore","OK","73160","35.3322949","-97.5093584",""
"5634 Kipling Parkway","#102","Arvada","CO","80002","39.799218","-105.111464",""
"7321 Mary Jo Avenue","","Panama City","FL","32409","30.2836162","-85.632155",""
"1938 Arcadian Street","","Savannah","GA","31405","32.045498","-81.140851",""
"10151 West 64th Avenue","","Arvada","CO","80004","39.813372","-105.111394",""
"149 Lenox Street","","Manchester","CT","06040","41.782849","-72.511481",""
"798 Airport Road","","Panama City","FL","32405","30.186469","-85.67183790000001",""
"180 Center Street","","Manchester","CT","06040","41.773626","-72.5265469",""
"19 Murray Road","","Essex","VT","05452","44.501023","-73.124143",""
"6057 Griffith Avenue","","Linda","CA","95901","39.1299599","-121.523663",""
"1753 Carswell Court","","Suisun City","CA","94585","38.262862","-121.986278",""
"3060 Zelda Road","","Montgomery","AL","36106","32.3555049","-86.26474379999999",""
"10700 South Pennsylvania Avenue","","Oklahoma City","OK","73170","35.3612038","-97.5465148",""
"5804 West Abraham Lane","","Glendale","AZ","85308","33.677824","-112.183949",""
"17361 Baronoff Avenue","","Anchorage","AK","99577","61.314642","-149.557618",""
"4560 Hurlston Drive","","Montgomery","AL","36116","32.307424","-86.228326",""
"7703 Laird Street","","Panama City","FL","32408","30.177643","-85.768343",""
"67 Steeplechase Drive","","Manchester","CT","06040","41.742648","-72.53360599999999",""
"27 Church Street","","Manchester","CT","06040","41.77373499999999","-72.52400999999999",""
"5707 Higdon Road","","","TN","37080","36.2783","-86.957224",""
"5136 Gaines Street","","Oklahoma City","OK","73135","35.413918","-97.453452",""
"6821 Northwest 25th Street","","Bethany","OK","73008","35.495752","-97.633589",""
"129 Glen Street","","West Brattleboro","VT","05301","42.85497","-72.59971999999999",""
"750 West Dimond Boulevard","#STE 000121","Anchorage","AK","99515","61.14393190000001","-149.894616",""
"8506 West 54th Avenue","#205","Arvada","CO","80002","39.7947797","-105.0921168",""
"525 Merrill Lane","#308","Dracut","MA","01826","42.6604333","-71.3392226",""
"1456 East 39th Street","","Savannah","GA","31404","32.049126","-81.076138",""
"6452 El Camino Real","","Atascadero","CA","93422","35.4882383","-120.6689552",""
"93 Alpine Avenue","","Oak Bluffs","MA","02568","41.4401517","-70.5804332",""
"1425 Claremont Circle","","Savannah","GA","31415","32.062524","-81.123133",""
"1363 Dean Forest Road","","Savannah","GA","31405","32.0584405","-81.2104642",""
"1209 Meehan Road","","","VT","05443","44.17889","-73.042778",""
"208 Bonita Circle","","Panama City Beach","FL","32408","30.1680412","-85.7868371",""
"1217 Cottondale Road","","Montgomery","AL","36109","32.3623955","-86.2506119",""
"1823 Dinger Road","","Annapolis","MD","21402","38.9846907","-76.4705276",""
"788 Williamson Road","","Montgomery","AL","36109","32.396071","-86.22619399999999",""
"150 Meadowview Street","","Marshfield","MA","02050","42.1149966","-70.6756703",""
"5611 Kendall Court","#3","Arvada","CO","80002","39.7991311","-105.0667299",""
"2201 Ontario Road Northwest","","Washington","DC","20009","38.919441","-77.03914999999999",""
"6606 North 52nd Drive","","Glendale","AZ","85301","33.5335158","-112.171628",""
"1852 Cherry Road","","Annapolis","MD","21409","39.004722","-76.44483",""
"7000 Hugh Drive","","Panama City","FL","32404","30.133951","-85.57024799999999",""
"115 Colemont Court","","Nashville","TN","37013","36.0603","-86.698751",""
"6611 5th Street Northwest","","Washington","DC","20012","38.970804","-77.019513",""
"1523 South 9th Street","","Louisville","KY","40208","38.2262777","-85.7702946",""
"185 Longview Road","","West Tisbury","MA","02568","41.436486","-70.656109",""
"123 Villa View Court","","Brentwood","TN","37027","36.0355599","-86.7806023",""
"33300 Mission Boulevard","#APT 174","Union City","CA","94587","37.6085241","-122.0190805",""
"1205 Southwest 128th Street","","Oklahoma City","OK","73170","35.3403832","-97.5372799",""
"612 E Street","","Marysville","CA","95901","39.1416756","-121.5911593",""
"760 11th Street Southeast","","Washington","DC","20003","38.879695","-76.99121",""
"29 Lucian Street","","Manchester","CT","06040","41.76681019999999","-72.5438238",""
"2140 East 56th Avenue","#APT 11","Anchorage","AK","99507","61.1699562","-149.8414879",""
"5516 West Indore Drive","","Littleton","CO","80128","39.581053","-105.057687",""
"306 Rural Hill Court","","Nashville","TN","37217","36.077414","-86.63667099999999",""
"2307 East 72nd Avenue","","Anchorage","AK","99507","61.155804","-149.8395899",""
"20241 North 67th Avenue","#A7","Glendale","AZ","85308","33.670937","-112.2005539",""
"1349 Burkhart Avenue","","San Leandro","CA","94579","37.685391","-122.152332",""
"606 National Street","#306","Fayetteville","AR","72701","36.0534454","-94.167263",""
"5415 Frank Hough Road","","Panama City","FL","32404","30.235831","-85.566138",""
"8 Corona Street","","","VT","05733","43.7928788","-73.09841759999999",""
"2325 Eastridge Circle","","Moore","OK","73160","35.358778","-97.4688594",""
"5331 Rexford Court","","Montgomery","AL","36116","32.337689","-86.215378",""
"3521 Stargate Circle","","Anchorage","AK","99517","61.1885821","-149.9442226",""
"1515 Excelsior Avenue","","Oakland","CA","94602","37.8019867","-122.2252044",""
"40700 Penn Lane","","Fremont","CA","94538","37.540659","-121.957693",""
"813 Holt Grove Court","","Nashville","TN","37211","36.0107545","-86.72665839999999",""
"430 Cornish Drive","","Nashville","TN","37207","36.230277","-86.785924",""
"2613 Cottonwood Street","","Anchorage","AK","99508","61.19696","-149.853952",""
"7822 Club Crest Drive","","Arvada","CO","80005","39.8368309","-105.093756",""
"2613 Southeast 50th Street","","Oklahoma City","OK","73129","35.415036","-97.46544999999999",""
"103 Chevis Road","","Savannah","GA","31419","31.996086","-81.259314",""
"3138 Banneker Drive Northeast","","Washington","DC","20018","38.92471099999999","-76.96210769999999",""
"228 Wood Street","#2","New Bedford","MA","02745","41.678116","-70.92456",""
"7321 East Chester Heights Circle","","Anchorage","AK","99504","61.1960869","-149.7438356",""
"15510 Champion Lakes Place","","Louisville","KY","40245","38.276776","-85.47488",""
"17109 Guava Avenue","","Panama City Beach","FL","32413","30.227626","-85.88994799999999",""
"721 Vermont 5A","","Westmore","VT","05860","44.78045100000001","-72.06810899999999",""
"5 Hibiscus Avenue","","Savannah","GA","31404","32.04552","-81.073267",""
"10763 West 54th Place","","Arvada","CO","80002","39.7956876","-105.118779",""
"4207 Ranch Drive","","Edmond","OK","73013","35.615131","-97.484859",""
"8216 West Citrus Way","","Glendale","AZ","85303","33.529299","-112.236591",""
"200 Edgewood Way","","Louisville","KY","40243","38.2472771","-85.55492919999999",""
"1890 Orchard View Road","","Roseville","CA","95747","38.7943511","-121.3518236",""
"10654 North 60th Avenue","#2019","Glendale","AZ","85304","33.5833933","-112.189887",""
"7187 Holland Court","","Arvada","CO","80005","39.8271442","-105.1034456",""
"600 West North Street","#D2","Fayetteville","AR","72701","36.077974","-94.167103",""
"5510 Montgomery Street","#4","Savannah","GA","31405","32.027567","-81.118393",""
"1405 East 55th Street","","Savannah","GA","31404","32.037246","-81.082886",""
"2845 Zelda Road","","Montgomery","AL","36106","32.3602803","-86.2633893",""
"7131 North 67th Avenue","#5","Glendale","AZ","85301","33.5410916","-112.2023783",""
"135 Pond Road","","Shelburne","VT","05482","44.37428999999999","-73.177277",""
"2224 East Tall Oaks Drive","","Fayetteville","AR","72703","36.093328","-94.128591",""
"13931 West 87th Drive","","Arvada","CO","80005","39.85340300000001","-105.155957",""
"201 Lee Boulevard","","Savannah","GA","31405","32.018704","-81.108882",""
"401 Fairhill Court","","Annapolis","MD","21403","38.946669","-76.50748600000001",""
"645 Governor Bridge Road","","Davidsonville","MD","21035","38.949727","-76.60583600000001",""
"3388 Thomasson Lane","","Fairfield","CA","94534","38.198231","-122.106795",""
"1460 Berger Street","","Odenton","MD","21113","39.095935","-76.71678299999999",""
"1226 Blossom Circle","","Livermore","CA","94550","37.679629","-121.739175",""
"9828 East Pueblo Avenue","","Mesa","AZ","85208","33.402405","-111.618577",""
"634 Chautauqua Avenue","","Norman","OK","73069","35.2098299","-97.450526",""
"313 Post Road","","Rutland","VT","05701","43.635281","-72.943794",""
"223 Main Street","","Nashville","TN","37213","36.171421","-86.770258",""
"4032 Windwood Lane","","Nashville","TN","37214","36.130924","-86.6350269",""
"201 West Street","","Annapolis","MD","21401","38.9769726","-76.5001837",""
"11 Water Street","","Holbrook","MA","02343","42.1550815","-71.0237559",""
"3500 South College Avenue","","Fort Collins","CO","80525","40.5392903","-105.0752914",""
"940 Ironwood Drive","","Montgomery","AL","36117","32.405795","-86.19257999999999",""
"824 Main Street","D","Manchester","CT","06040","41.7711636","-72.52146239999999",""
"332 Concord Avenue","","Cambridge","MA","02138","42.3844283","-71.1354089",""
"1811 1st Street Northwest","","Washington","DC","20001","38.9145119","-77.011917",""
"3415 Brookdale Drive","","Santa Clara","CA","95051","37.342399","-121.990657",""
"664 Irving Street Northwest","","Washington","DC","20010","38.928737","-77.022661",""
"1136 Northwest 31st Street","","Oklahoma City","OK","73118","35.5015","-97.5315778",""
"3469 North Par Court","","Fayetteville","AR","72703","36.114024","-94.12243",""
"16820 Coronado Street","#APT 44","Anchorage","AK","99577","61.32516339999999","-149.5681289",""
"103 Aspen Place Northeast","","Calhoun","GA","30701","34.512555","-84.905006",""
"1 Logan Circle Northwest","","Washington","DC","20005","38.9091489","-77.0302896",""
"1816 14th Avenue","","Nashville","TN","37208","36.181355","-86.807851",""
"4900 Cambridge Way","","Anchorage","AK","99503","61.175974","-149.904861",""
"63 Wild Thistle Lane","","Savannah","GA","31406","32.003593","-81.02607300000001",""
"11256 Palos Verdes Court","","Cupertino","CA","95014","37.3044458","-122.0529017",""
"890 East Skyline Drive","","Fayetteville","AR","72701","36.0656378","-94.1434898",""
"3901 Old Seward Highway","#STE 000016","Anchorage","AK","99503","61.1853511","-149.8649285",""
"2707 Eden Street","","Nashville","TN","37208","36.163691","-86.818445",""
"16 Harlow Road","","Springfield","VT","05156","43.2993818","-72.4931782",""
"82 Roys Road","","","VT","05250","43.0462","-73.179153",""
"1751 Shoreham Drive","","Montgomery","AL","36106","32.354981","-86.247067",""
"4672 A Street Southeast","","Washington","DC","20019","38.88839900000001","-76.934015",""
"310 West Trinity Lane","","Nashville","TN","37207","36.206447","-86.78049899999999",""
"1044 Stokes Road","","Montgomery","AL","36110","32.439489","-86.247089",""
"7419 West Hill Lane","","Glendale","AZ","85310","33.6856079","-112.216672",""
"7230 Montagne Circle","","Anchorage","AK","99507","61.155155","-149.71361",""
"464 Springfield Street","","Wilbraham","MA","01095","42.1196342","-72.4637343",""
"3116 Northwest 61st Terrace","","Oklahoma City","OK","73112","35.5339389","-97.5718459",""
"1601 Algonquin Parkway","#3","Louisville","KY","40210","38.2225055","-85.7828486",""
"6740 Dickerson Drive","","Anchorage","AK","99504","61.221587","-149.75383",""
"110 Oxford Road","","Savannah","GA","31419","31.959949","-81.155259",""
"3551 North Georgetown Drive","","Montgomery","AL","36109","32.395641","-86.25322700000001",""
"210 Long Hill Court","","Pasadena","MD","21122","39.127229","-76.572811",""
"3815 Williams Street","","Anchorage","AK","99508","61.185711","-149.8443848",""
"25800 Industrial Boulevard","V","Hayward","CA","94545","37.6368362","-122.1119208",""
"737 Nelson Road","","Ludlow","VT","05149","43.4366441","-72.6701594",""
"1909 Seventh Street","M","Berkeley","CA","94710","37.869121","-122.296661",""
"407 Morse Street Northeast","","Washington","DC","20002","38.9075323","-76.9998128",""
"7030 Cotton Blossom Lane","","Montgomery","AL","36117","32.3971726","-86.1651218",""
"1915 Dean Forest Road","","Pooler","GA","31322","32.0979697","-81.1962642",""
"7502 Kingman Street","","Panama City Beach","FL","32408","30.18001499999999","-85.7654359",""
"34 Main Street","#5H","Gardner","MA","01440","42.5751904","-71.9948959",""
"26334 Adrian Avenue","","Hayward","CA","94545","37.636421","-122.102691",""
"102 Derondo Street","","Panama City Beach","FL","32413","30.2555704","-85.95951029999999",""
"533 Forest Ridge Court","","Montgomery","AL","36109","32.390171","-86.223468",""
"11330 Elmore Road","","Anchorage","AK","99516","61.117906","-149.806908",""
"10 South Main Street","","Fair Haven","VT","05743","43.588963","-73.26503",""
"6515 West Poinsettia Drive","","Glendale","AZ","85304","33.5934363","-112.1996112",""
"117 Adelaide Road","","Manchester","CT","06040","41.777818","-72.495914",""
"5430 Brookdale Avenue","","Oakland","CA","94619","37.774636","-122.195447",""
"80 Homestead Street","","Manchester","CT","06042","41.785401","-72.531238",""
"2927 Martin Luther King Junior Avenue Southeast","","Washington","DC","20020","38.845443","-76.9975165",""
"15253 North 62nd Avenue","","Glendale","AZ","85306","33.6226261","-112.1931236",""
"3111 West Place Southeast","","Washington","DC","20020","38.863464","-76.96216199999999",""
"713 East 32nd Street","","Savannah","GA","31401","32.0579228","-81.0878461",""
"3823 Shannon Run Trail","","Louisville","KY","40299","38.189447","-85.60028600000001",""
"4 Samuel Riggs Circle","","Gloucester","MA","01930","42.642578","-70.67556499999999",""
"5 Centercrest Drive","","Tyngsborough","MA","01879","42.670101","-71.4206892",""
"3300 Gatsby Lane","","Montgomery","AL","36106","32.361634","-86.26294399999999",""
"741 Amity Lane","","Montgomery","AL","36117","32.397793","-86.204089",""
"631 West 32nd Avenue","#APT 000134","Anchorage","AK","99503","61.1916972","-149.8957374",""
"714 East 33rd Street","","Savannah","GA","31401","32.057619","-81.087919",""
"210 Seaman","","McCrory","AR","72101","35.2545117","-91.1976609",""
"4050 Lake Otis Parkway","#STE 000102","Anchorage","AK","99508","61.18408040000001","-149.8382083",""
"9399 Yucca Way","","Arvada","CO","80007","39.8666498","-105.2064653",""
"14213 Doc Hawley Street","","Louisville","KY","40245","38.2331551","-85.5028193",""
"5840 Eagle Circle","","Montgomery","AL","36116","32.325512","-86.2287363",""
"713 Ringgold Drive","","Nashville","TN","37207","36.21835799999999","-86.81087099999999",""
"7101 West Beardsley Road","#151","Glendale","AZ","85308","33.6661742","-112.2118385",""
"1780 Poplar Ridge Road","","Pasadena","MD","21122","39.131587","-76.470202",""
"4971 Janet Court","","Livermore","CA","94550","37.6841886","-121.7340865",""
"4316 Dover Road","","Louisville","KY","40216","38.186788","-85.833439",""
"3404 Lakeside Drive","","Anchorage","AK","99515","61.131176","-149.943144",""
"1838 North Scull Creek Drive","","Fayetteville","AR","72703","36.0869939","-94.16856829999999",""
"475 Maple Street","#613","Holyoke","MA","01040","42.1995008","-72.61671040000002",""
"31 Ashworth Street","","Manchester","CT","06040","41.771831","-72.506789",""
"529 Barr Hill Road","","Greensboro","VT","05841","44.5936859","-72.2881687",""
"700 Revels Drive","","Nashville","TN","37207","36.223744","-86.81062999999999",""
"2 Thompson Road","","Manchester","CT","06040","41.7741413","-72.5453663",""
"6620 North 61st Drive","","Glendale","AZ","85301","33.533845","-112.192053",""
"3905 Lyceum Avenue","","Los Angeles","CA","90066","33.9967467","-118.440265",""
"125 Summer Street","","Manchester","CT","06040","41.7700243","-72.5425936",""
"4052 Brandywine Pointe Boulevard","","Nashville","TN","37138","36.234415","-86.605311",""
"235 17th Street Southeast","","Washington","DC","20003","38.886815","-76.981088",""
"91 Eldridge Street","","Manchester","CT","06040","41.76776900000001","-72.516268",""
"5130 Morris Way","","Fremont","CA","94536","37.544602","-122.019375",""
"3777 Mowry Avenue","#APT 17","Fremont","CA","94538","37.5497744","-121.9881106",""
"1607 Louisiana Avenue","","Panama City","FL","32405","30.177473","-85.651614",""
"1701 Atlantic Street","","Union City","CA","94587","37.602458","-122.046613",""
"201 North Locust Avenue","B","Fayetteville","AR","72701","36.0647522","-94.1630174",""
"5813 Hammermill Loop","","Montgomery","AL","36116","32.310768","-86.207281",""
"3951 Kimberly Street","","Montgomery","AL","36116","32.3049419","-86.255498",""
"932 Northwest 20th Street","","Moore","OK","73160","35.3563709","-97.5080011",""
"333 Saint Charles Avenue","#B2","Fayetteville","AR","72701","36.067786","-94.1607504",""
"2527 Lisenby Avenue","","Panama City","FL","32405","30.19391999999999","-85.684286",""
"1108 Slater Street","","Santa Rosa","CA","95404","38.451184","-122.715459",""
"10 Skyline Way","","Hartford","VT","05001","43.6664654","-72.32172",""
"4375 West Missouri Avenue","#67","Glendale","AZ","85301","33.516522","-112.1549397",""
"3321 Eureka Street","#APT 000012","Anchorage","AK","99503","61.1896952","-149.8906112",""
"7427 West Abraham Lane","","Glendale","AZ","85308","33.6799839","-112.2181571",""
"3325 Dix Street Northeast","","Washington","DC","20019","38.8945796","-76.95866029999999",""
"4821 Milner Drive","","Nashville","TN","37211","36.074775","-86.733907",""
"712 Wilsonwood Place","","Nashville","TN","37206","36.183401","-86.72769090000001",""
"53 Fairfield Street","","Manchester","CT","06040","41.7663468","-72.53781099999999",""
"2821 Tyson Place","","Louisville","KY","40218","38.20344","-85.64027399999999",""
"31770 Alvarado Boulevard","#102","Union City","CA","94587","37.5927298","-122.071967",""
"236 Middle Turnpike East","","Manchester","CT","06040","41.783396","-72.51220599999999",""
"64 Roseberry Circle","","Port Wentworth","GA","31407","32.1822872","-81.2220151",""
"2643 North Sierra Avenue","","Fayetteville","AR","72703","36.099555","-94.15448099999999",""
"4604 West 19th Court","","Panama City","FL","32405","30.184328","-85.720681",""
"883 Rodney Drive","","Nashville","TN","37205","36.116597","-86.907061",""
"3345 Archie Watkins Road","","Farmington","AR","72730","36.024139","-94.22672899999999",""
"1865 North Higley Road","","Mesa","AZ","85205","33.449118","-111.7185263",""
"50 Winthrop Avenue","","Lawrence","MA","01843","42.6921058","-71.15260479999999",""
"63 Dorchester Street","#2","Worcester","MA","01604","42.25189","-71.793182",""
"2686 Avery Park Drive","","Nashville","TN","37211","36.0176609","-86.700486",""
"487 Maury Street","","Montgomery","AL","36104","32.3607439","-86.300546",""
"2100 North Leverett Avenue","#112J","Fayetteville","AR","72703","36.090445","-94.16954299999999",""
"1320 Huffman Park Drive","#STE 000170","Anchorage","AK","99515","61.10976600000001","-149.858039",""
"8 Chestnut Street","","Winchester","MA","01890","42.4448326","-71.133139",""
"8121 Copper Creek Drive","","Lyndon","KY","40222","38.2497931","-85.60306159999999",""
"9360 Hester Beasley Road","","Nashville","TN","37221","36.018232","-87.025104",""
"14 Tranquil Place","","Pooler","GA","31322","32.08227","-81.26250999999999",""
"1013 Balboa Avenue","#A","Capitola","CA","95010","36.982036","-121.938554",""
"3100 Don Juan Court","","Montgomery","AL","36110","32.4174654","-86.2884313",""
